<Comprimento de Onda>	<Intensidade>
351.18	-0.301
351.40	-0.301
351.62	-0.301
351.83	-0.000
352.05	0.456
352.27	-1.079
352.49	-0.249
352.70	0.014
352.92	-0.000
353.14	-1.041
353.36	0.699
353.57	-0.000
353.79	-1.415
354.01	-0.000
354.23	-0.000
354.44	-0.000
354.66	-0.940
354.88	-0.000
355.09	0.090
355.31	0.136
355.53	0.639
355.75	0.294
355.96	0.362
356.18	0.573
356.40	0.537
356.61	0.549
356.83	0.548
357.05	0.489
357.27	0.608
357.48	0.345
357.70	0.517
357.92	0.197
358.13	0.327
358.35	0.374
358.57	0.264
358.78	0.570
359.00	0.180
359.22	0.236
359.44	0.358
359.65	0.419
359.87	0.221
360.09	0.379
360.30	0.495
360.52	0.290
360.74	0.280
360.95	0.278
361.17	0.444
361.39	0.266
361.60	0.430
361.82	0.283
362.04	0.301
362.25	0.161
362.47	0.442
362.69	0.406
362.91	0.202
363.12	0.486
363.34	0.153
363.56	0.152
363.77	0.352
363.99	0.348
364.21	0.463
364.42	0.299
364.64	0.211
364.86	0.460
365.07	0.316
365.29	0.251
365.51	0.208
365.72	0.388
365.94	0.236
366.16	0.253
366.37	0.479
366.59	0.254
366.81	0.256
367.02	0.361
367.24	0.205
367.45	0.284
367.67	0.417
367.89	0.607
368.10	0.323
368.32	0.320
368.54	0.313
368.75	0.312
368.97	0.370
369.19	0.315
369.40	0.256
369.62	0.257
369.84	0.342
370.05	0.552
370.27	0.298
370.48	0.250
370.70	0.213
370.92	0.244
371.13	0.457
371.35	0.420
371.57	0.209
371.78	0.334
372.00	0.197
372.22	0.295
372.43	0.244
372.65	0.294
372.86	0.208
373.08	0.186
373.30	0.429
373.51	0.392
373.73	0.303
373.94	0.323
374.16	0.271
374.38	0.247
374.59	0.345
374.81	0.336
375.03	0.296
375.24	0.197
375.46	0.289
375.67	0.218
375.89	0.224
376.11	0.246
376.32	0.388
376.54	0.396
376.75	0.290
376.97	0.197
377.19	0.300
377.40	0.197
377.62	0.372
377.83	0.216
378.05	0.266
378.27	0.215
378.48	0.333
378.70	0.280
378.91	0.180
379.13	0.316
379.35	0.287
379.56	0.414
379.78	0.236
379.99	0.299
380.21	0.212
380.42	0.293
380.64	0.338
380.86	0.268
381.07	0.307
381.29	0.349
381.50	0.314
381.72	0.206
381.93	0.278
382.15	0.236
382.37	0.295
382.58	0.189
382.80	0.268
383.01	0.307
383.23	0.378
383.44	0.265
383.66	0.301
383.88	0.238
384.09	0.284
384.31	0.309
384.52	0.271
384.74	0.224
384.95	0.238
385.17	0.178
385.38	0.264
385.60	0.298
385.82	0.249
386.03	0.341
386.25	0.230
386.46	0.342
386.68	0.248
386.89	0.265
387.11	0.275
387.32	0.308
387.54	0.358
387.75	0.280
387.97	0.273
388.19	0.347
388.40	0.291
388.62	0.306
388.83	0.345
389.05	0.353
389.26	0.376
389.48	0.318
389.69	0.305
389.91	0.348
390.12	0.316
390.34	0.231
390.55	0.309
390.77	0.307
390.98	0.349
391.20	0.368
391.41	0.263
391.63	0.396
391.84	0.330
392.06	0.397
392.28	0.275
392.49	0.355
392.71	0.292
392.92	0.299
393.14	0.276
393.35	0.338
393.57	0.351
393.78	0.296
394.00	0.325
394.21	0.325
394.43	0.386
394.64	0.316
394.86	0.341
395.07	0.361
395.29	0.321
395.50	0.321
395.72	0.315
395.93	0.307
396.15	0.351
396.36	0.465
396.58	0.353
396.79	0.266
397.01	0.346
397.22	0.378
397.44	0.378
397.65	0.327
397.86	0.380
398.08	0.348
398.29	0.298
398.51	0.357
398.72	0.337
398.94	0.316
399.15	0.297
399.37	0.315
399.58	0.344
399.80	0.364
400.01	0.392
400.23	0.285
400.44	0.298
400.66	0.429
400.87	0.367
401.09	0.304
401.30	0.330
401.52	0.320
401.73	0.371
401.94	0.388
402.16	0.402
402.37	0.298
402.59	0.357
402.80	0.326
403.02	0.306
403.23	0.436
403.45	0.318
403.66	0.382
403.88	0.315
404.09	0.372
404.30	0.384
404.52	0.400
404.73	0.348
404.95	0.397
405.16	0.423
405.38	0.347
405.59	0.407
405.80	0.345
406.02	0.400
406.23	0.377
406.45	0.395
406.66	0.376
406.88	0.410
407.09	0.385
407.31	0.369
407.52	0.320
407.73	0.413
407.95	0.342
408.16	0.358
408.38	0.354
408.59	0.352
408.80	0.404
409.02	0.378
409.23	0.385
409.45	0.373
409.66	0.372
409.88	0.409
410.09	0.355
410.30	0.410
410.52	0.405
410.73	0.446
410.95	0.410
411.16	0.379
411.37	0.430
411.59	0.426
411.80	0.342
412.02	0.437
412.23	0.426
412.44	0.418
412.66	0.441
412.87	0.406
413.09	0.437
413.30	0.442
413.51	0.373
413.73	0.422
413.94	0.469
414.16	0.402
414.37	0.372
414.58	0.420
414.80	0.428
415.01	0.383
415.23	0.427
415.44	0.415
415.65	0.537
415.87	0.415
416.08	0.379
416.29	0.402
416.51	0.383
416.72	0.490
416.94	0.409
417.15	0.394
417.36	0.415
417.58	0.447
417.79	0.430
418.00	0.435
418.22	0.387
418.43	0.440
418.65	0.450
418.86	0.472
419.07	0.500
419.29	0.430
419.50	0.490
419.71	0.475
419.93	0.446
420.14	0.443
420.35	0.399
420.57	0.396
420.78	0.458
420.99	0.428
421.21	0.495
421.42	0.440
421.63	0.453
421.85	0.467
422.06	0.408
422.28	0.470
422.49	0.444
422.70	0.408
422.92	0.467
423.13	0.455
423.34	0.497
423.56	0.455
423.77	0.481
423.98	0.525
424.20	0.471
424.41	0.455
424.62	0.494
424.84	0.526
425.05	0.407
425.26	0.479
425.48	0.543
425.69	0.456
425.90	0.483
426.11	0.443
426.33	0.540
426.54	0.488
426.75	0.484
426.97	0.469
427.18	0.498
427.39	0.451
427.61	0.508
427.82	0.471
428.03	0.481
428.25	0.494
428.46	0.485
428.67	0.489
428.89	0.497
429.10	0.461
429.31	0.482
429.52	0.504
429.74	0.525
429.95	0.533
430.16	0.471
430.38	0.518
430.59	0.459
430.80	0.544
431.02	0.524
431.23	0.481
431.44	0.471
431.65	0.473
431.87	0.551
432.08	0.485
432.29	0.509
432.51	0.496
432.72	0.504
432.93	0.524
433.14	0.509
433.36	0.514
433.57	0.565
433.78	0.509
433.99	0.552
434.21	0.502
434.42	0.492
434.63	0.472
434.85	0.551
435.06	0.530
435.27	0.521
435.48	0.537
435.70	0.476
435.91	0.498
436.12	0.473
436.33	0.525
436.55	0.567
436.76	0.514
436.97	0.518
437.18	0.548
437.40	0.525
437.61	0.528
437.82	0.522
438.03	0.507
438.25	0.516
438.46	0.506
438.67	0.518
438.88	0.515
439.10	0.524
439.31	0.537
439.52	0.526
439.73	0.536
439.95	0.502
440.16	0.544
440.37	0.550
440.58	0.544
440.80	0.523
441.01	0.543
441.22	0.524
441.43	0.505
441.65	0.544
441.86	0.522
442.07	0.516
442.28	0.590
442.49	0.557
442.71	0.546
442.92	0.530
443.13	0.516
443.34	0.555
443.56	0.534
443.77	0.543
443.98	0.535
444.19	0.521
444.40	0.526
444.62	0.515
444.83	0.527
445.04	0.531
445.25	0.547
445.46	0.579
445.68	0.504
445.89	0.530
446.10	0.568
446.31	0.572
446.52	0.526
446.74	0.531
446.95	0.525
447.16	0.523
447.37	0.561
447.58	0.545
447.80	0.515
448.01	0.525
448.22	0.546
448.43	0.523
448.64	0.524
448.86	0.547
449.07	0.529
449.28	0.591
449.49	0.504
449.70	0.524
449.92	0.530
450.13	0.537
450.34	0.539
450.55	0.518
450.76	0.580
450.97	0.517
451.19	0.504
451.40	0.556
451.61	0.527
451.82	0.523
452.03	0.540
452.24	0.540
452.46	0.535
452.67	0.513
452.88	0.513
453.09	0.514
453.30	0.510
453.51	0.542
453.73	0.504
453.94	0.529
454.15	0.528
454.36	0.568
454.57	0.563
454.78	0.524
454.99	0.531
455.21	0.545
455.42	0.546
455.63	0.522
455.84	0.549
456.05	0.562
456.26	0.559
456.48	0.540
456.69	0.529
456.90	0.526
457.11	0.541
457.32	0.546
457.53	0.554
457.74	0.557
457.95	0.531
458.17	0.537
458.38	0.565
458.59	0.550
458.80	0.534
459.01	0.564
459.22	0.539
459.43	0.549
459.64	0.566
459.86	0.542
460.07	0.550
460.28	0.513
460.49	0.559
460.70	0.516
460.91	0.546
461.12	0.550
461.33	0.542
461.55	0.522
461.76	0.529
461.97	0.549
462.18	0.540
462.39	0.510
462.60	0.539
462.81	0.502
463.02	0.542
463.23	0.526
463.44	0.551
463.66	0.507
463.87	0.532
464.08	0.521
464.29	0.552
464.50	0.530
464.71	0.516
464.92	0.539
465.13	0.541
465.34	0.535
465.55	0.547
465.76	0.553
465.98	0.535
466.19	0.535
466.40	0.537
